nuevos,autores
"Con qué autoridad moral nos ofendemos, entonces, porque Mr. Trump quiera construir un muro para evitar que mexicanos y centroamericanos lleguen a su territorio. Cómo podemos ponernos la mano en la frente cual LibertadLamarque para recriminarle al @POTUS (Trump) que diga que los mexicanos somos narcos y violadores, si hacemos exactamente lo mismo.",Francisco Zea
"Haíga sido como haíga sido, dirían los clásicos, las cosas no pintan bien. Escribe Roberto Gil Zuarth, que se conoce su enfrentamiento con la actual dirigencia, en su cuenta de Twitter, que lamenta su salida, pero la entiende, pues el PAN que ella conoció ya no existe. Momento de pensar las cosas don Damián y don Ricardo, no les vaya a explotar en las manos el asunto.",Francisco Zea
"Espero que este 2018 lo tomemos con la seriedad debida. No con preocupación, sino con la debida diligencia de enterarnos de los problemas nacionales. Deseo que las campañas no se vuelvan una guerra de desinformación y descalificaciones. Necesitamos propuestas, muchas, planes, muchos. Los qué y los cómo. No andar endilgando paternidades a los otros.",Francisco Zea
"Cuánto dolor más, cuánta sangre más, cuántas lágrimas más. Ya no quiero más este México jodido, lastimado, de mala leche y mala entraña. Eso no es mi país. Esto en que nos hemos convertido, en bestias sin sentimiento somos los mexicanos. No somos rateros ni asesinos. Somos gente buena, rifada, chingona, trabajadora y esforzada.",Francisco Zea
"Tengo esperanzas de que algún día la clase política de este país pueda entender que gobernar no es inaugurar. Que para ser presidente, gobernador o presidente municipal no se necesita tener listo el traje, las tijeras, la guayabera o el disfraz de ocasión. Gobernar es algo serio, y en ello se carga la vida o el patrimonio de los habitantes de la entidad que mandatan.",Francisco Zea
"Indiscutiblemente fue un gran negocio para Barrales y Los Chuchos. La cabeza de Mancera fue vendida a un precio inconmensurable, quizá la negociación está dejando vacío y enfrentado al PAN. Ricardo Anaya, en su ambición presidencial, que no califico como buena o mala, acaba de entregar la Presidencia de la República a Andrés Manuel López Obrador.",Francisco Zea
"De Anaya sólo puedo decir que su capacidad de negociar, de ofrecer y de amedrentar es bárbara. Sin duda, me sorprendió cómo rebasó y atropelló a sus contrincantes. Nadie creía que iba a vencer a Margarita, a Rafael y a Miguel. No sólo lo hizo, los borró del mapa político. En este escenario tenemos que reconocer que ni tan niño ni tan ingenuo y de ninguna manera solo.",Francisco Zea
"Rafael Leonidas Trujillo, dictador en República Dominicana, tiene el discutible honor de ser el culpable del establecimiento del Día Mundial en Contra de la Violencia a las Mujeres por ser el autor intelectual del homicidio de Las Mariposas, las hermanas Mirabal un 25 de noviembre de 1960. El crimen perpetrado de la forma más terrible, en una plantación y a garrotazos.",Francisco Zea
"La historia de las hermanas está contada de forma magistral en una novela de Julia Álvarez, En el tiempo de las mariposas. Esta novela después fue llevada al cine porSalma Hayek e interpretando al dictador Edward James Olmos. Desde mi óptica y sin ser un experto en cine, elmejor trabajo de Hayek y un documento fílmico extraordinario.",Francisco Zea
"Me parece que lo que diga un homicida cuando asesina, no puede ser el rasero para calificar un adjetivo y mucho menos a un grito que se da en la diversión de un partido de futbol. Aunque quiero dejar claro que respeto aquellos activistas que lo consideran incómodo, de hecho celebró que ayer en el partido de la NFL la gente se comportó de manera educada y el grito no fue tema.",Francisco Zea
"Independientemente de la naturaleza del grito, no puedo creer que en la Cámara de Diputados, ahora conocida como el San Lazaro Spa & Club, un grupo de legisladoras lo utilicen en contra de su par de diferente filiación. Supongo que no les explicaron que son representantes de todos los mexicanos que depositamos nuestra soberanía en ellas.",Francisco Zea
"Me reprocho, puntualmente, contar como provinciano emocionado las experiencias en otros países. De verdad estoy convencido de que el potencial de nuestro México es inconmensurable. Pero resultan apabullantes las experiencias que se han cocinado en menos de 100 años en otros lugares haciendo las apuestas correctas. De entrada, dirían los clásicos: “Es la tecnología, estúpido”.",Francisco Zea
"Cuando aquí seguimos discutiendo sobre un recurso natural que está de salida, que es una muestra de un pasado abusivo en contra de la naturaleza, en otros lugares apuestan por espejos que miden los signos vitales, automóviles eléctricos y autónomos, lentes de contacto que navegan en internet y celulares de tres dimensiones.",Francisco Zea
"Me pregunto si seremos capaces como país y sociedad de elegir a quienes puedan garantizarle a mi amigo Iker, que podrá estudiar, que podrá caminar sin miedo para llegar a la universidad, que cuidará de la seguridad de sus papás, que propiciará condiciones para que su papá, cerrajero de oficio, pueda seguir trabajando y obteniendo ingresos para impulsar a su hijo.",Francisco Zea
"La situación en el PAN me parece compleja y las posiciones irreconciliables, con diálogo o sin él. El partido me parece se puede romper fácilmente y si las cosas se enderezan, ya exhibieron sus miserias. Qué razón tenía Castillo Peraza cuando advertía que el PAN se podía perder ganando el poder. Sólo erró en que se está perdiendo, tratando de recuperarlo.",Francisco Zea
"No pide sacrificios personales en pos de su lucha, no urge a los “traidores” como han sido denominados en el PAN el grupo de senadores rebeldes que se salgan con ella, dice que es una decisión personal, pero platicando con algunos de ellos como Roberto Gil o Ernesto Cordero, me dicen que están con ella, no hablan de los alcances.",Francisco Zea
"En la entrevista, niega la acusación, dice que le demuestren que en su gobierno se hicieron esas prácticas y de su operador político Eukid Castañón, favorecido por la curul que estaba pactada para Margarita Zavala, y quien fue señalado por los denunciantes como el orquestador de las escuchas ilegales, pide que se le pregunte a él.",Francisco Zea
"En la entrevista, Moreno Valle se comprometió a darme la relación y lo hizo. Las cantidades sorprenden. Nada tiene de malo ser senador por un estado y, activamente, gestionar recursos, pero la cosa cambia si sé pidió dinero, reitero cosa de la que no tengo prueba, o si se utiliza como moneda de cambio para ser apoyado en una elección venidera.",Francisco Zea
"Me parece fantástico que Barbosa denuncie, en su caso, las actividades presuntamente ilícitas de Rafael Moreno Valle, pero no ha salido a dar ninguna explicación si es verdad que gestionó estos recursos y en qué condiciones, sin moches o con ellos y con intención política o por cumplir con su deber. Espero que pronto nos dé explicaciones el senador.",Francisco Zea
La escena fue festinada millones de veces en las redes sociales por una gran mayoría de ciudadanos que decían lo mismo: “Se lo merecen por ratas”. Los intentos por decir lo contrario se topaban de frente con el enojo de la ciudadanía que está hasta la madre de partirse el alma para ganar unos pesos honradamente y que unos hijos de su tía se los arranquen a punta de pistola.,Francisco Zea
"Las hermanas aquí citadas, ya están en la cárcel, confesas y sentenciadas. Aceptaron su culpabilidad a cambio de que les retiraran el delito de delincuencia organizada, negociación que al más puro estilo de los fiscales gringos, acepta nuestro Nuevo Sistema Penal Acusatorio. Es decir, reconocieron que lavaron dinero para Javier N y su esbirro.",Francisco Zea
"La broma se le acabó a Del Toro el sábado en la audiencia en la cual el juez Moreno García vinculó a proceso a su cliente, después de 12 horas de alegatos y exposición del caso. En esta audiencia, ahora sí, las partes deben de enumerar los elementos probatorios con los que cuentan unos para encarcelar y otros para defender al implicado.",Francisco Zea
"Lo reitero, por más hasta el copete que estemos los ciudadanos y se nos antoje que maten a todos estos desgraciados, no vamos a pacificar a este país, si no es al amparo de la ley y reduciendo la impunidad. Y, sobre todo, es momento de hacer cuerpo, de hacer país con las Fuerzas Armadas no dejar que un hecho las desprestigie.",Francisco Zea
"Espero que ahora que está bajo la custodia de las autoridades el infeliz de Duarte explique el caso de las quimioterapias presuntamente apócrifas. Mire, si roba, creo que lo hacen todos, pero si mata niños que se están partiendo la madre por sobrevivir, eso sí es una indignidad. Que, supongo, le importa un bledo al señor de la sonrisa enigmática. Al Giocondo jarocho.",Francisco Zea
"Cuando empecé a escribir esta Línea estratégica, nunca fue mi pretensión ir más allá de dar una opinión sincera y real de lo que pasaba en mi entorno y en el país en general. Jamás imaginé que me atropellaría el centenario del periódico más importante del país. Mi métrica nunca fue centenaria, pero la suerte decidió que fuera partícipe de este acontecimiento. ",Francisco Zea
"Ente este marasmo de desánimo, hay una luz de esperanza. Encuentro una sentencia de un Tribunal Colegiado en materia penal que no sólo es valiente, es cómo deben de ser las resoluciones del Poder Judicial, una cátedra de civismo y una denuncia en sí misma de la porquería que se puede hacer en este país por intereses políticos y económicos.",Francisco Zea
"El magistrado Ricardo Paredes como ponente de un amparo promovido por Juan Manuel Rubalcava, que se resolvió en el Séptimo Tribunal Colegiado en materia Penal del Primer Circuito, lo menos que le dice al patán, que separó a una madre de su hija, es que la diferencia de edad, de educación en materia profesional y económica es un abuso que raya en la misoginia.",Francisco Zea
"No creo exagerar al decir que urge que se convoque a un congreso constituyente. Creo que nos urge un documento fundacional, moderno y político que refleje asuntos tan importantes como los gobiernos de coalición, idea surgida en una mesa de análisis del XIII Congreso Iberoamericano de Derecho Constitucional y plasmada por Manlio Fabio Beltrones.",Francisco Zea
"La cancelación del encuentro por parte de Peña Nieto fue prudente y educada, las baladronadas del payaso del copete fueron bravatas encendidas. El mejor negociador del mundo, el más “increíble”, generador de empleos en la historia de EU tiene un grave defecto, no sabe qué contestar cuando el de enfrente le dice simplemente: ¡no!",Francisco Zea
